# of Use,# di utilizzo
%1$s incl tax.,%1$s incl tasse.
%s - %s,%s - %s
%s Item(s),%s Prodotto/I
Catalog Category (Anchor),Categoria catalogo (Ancorato)
Catalog Category (Non-Anchor),Categoria catalogo (Non ancorato)
Catalog Category (Without Subcategories),Categoria catalogo (Senza sottocategorie)
Catalog Category Link,Link categoria catalogo
Catalog New Products List,Elenco nuovi prodotti catalogo
Catalog Price Scope,Campo prezzi catalogo
Catalog Product Compare List,Elenco di confronto prodotti catalogo
Catalog Product Email to a Friend,Invia ad un amico il catalogo prodotti
Catalog Product Image Gallery Popup,Galleria Popup immagini catalogo prodotti 
Catalog Product Link,Link prodotti catalogo
Catalog Product View (Any),Vedi catalogo prodotti (Qualsiasi)
Catalog Product View (Configurable),Vedi catalogo prodotti (Configurabili)
Catalog Product View (Grouped),Vedi catalogo prodotti (Raggruppato)
Catalog Product View (Simple),Vedi catalogo prodotti (Semplice)
Catalog Product View (Virtual),Vedi catalogo prodotti (Virtuali)
Catalog Section,Sezione catalogo
Catalog Seo Popular Search Terms,Termini di ricerca popolari Catalogo Seo
Catalog Seo Sitemap (Category List),Sitemap Catalogo Seo (Lista categorie)
Catalog Seo Sitemap (Category Tree),Sitemap Catalogo Seo (Albero categorie)
Catalog Seo Sitemap (Common),Sitemap Catalogo Seo (Comune)
Catalog Seo Sitemap (Product List),Sitemap Catalogo Seo (Elenco prodotti)
Catalog URL Rewrites,Catalogo URL Rewrites
"Catalog, Search","Catalogo, cerca"
Categories,Categorie
Categories Sitemap,Categorie sitemap
Category,Categoria
Category API,Categoria API
Category Data,Categoria Dati
Category Flat Data,Categoria dati Flat
Category Link Block Template,Link categoria blocco Template
Category Link Inline Template,Link Categoria inline Template 
Category Products,Prodotti categoria
Category Top Navigation,Category Top Navigation
Category URL Suffix,Suffisso Categoria URL
Category attributes API,Attributi categoria API
Category move error,Errore spostamento categoria
Category move operation is not possible: the new parent category was not found.,Lo spostamento della categoria non è possibile: nuova categoria genitore non trovata.
Category must be an instance of Mage_Catalog_Model_Category.,La categoria deve essere un istanza di Catalog_Model_Category.
Center,Centro
Change,Cambia
Change or Retrieve attribute store view,Cambiare o recuperare attributo vista negozio
Change status,Cambia stato
Check items to add to the cart or,Spunta i prodotti da aggiungere al carrello o
Choose an Option...,Scegli un opzione...
Clear All,Cancella tutto
Close Window,Chiudi finestra
Collapse All,Comprimi tutto
Comma-separated.,Separati da virgole.
Comparable,Comparabile
Comparable on Front-end,Comparabile sul Front-end
Comparable on the Frontend,Comparabile sul Frontend
Compare,Confronta
Compare Products,Confronta prodotti
Conditions Combination,Condizioni di combinazione
Configurable Product,Prodotto configurabile
Configurable Product Settings,Impostazioni prodotto configurabile
Configure Product,Configura prodotto
Continue,Continua
Copy From Configurable,Copia da configurabile
Country/State,Paese/Stato
Create,Crea
Create (Upload),Crea (caricamento)
Create Empty,Crea vuoto
Create Permanent Redirect for old URL,Crea un reindirizzamento permanente per il vecchio URL
Create Permanent Redirect for old URLs if Url key changed,Crea un reindirizzamento permanente per i vecchi URL se la chiave Url è cambiata
Create Product Settings,Crea impostazioni prodotto
Create Simple Associated Product,Crea prodotto semplice associato
Create new category,Crea nuova categoria
Create new product,Crea nuovo prodotto
Cross-sells,Prodotti consigliati
Currently Shopping by:,Attualmente acquisti da:
Custom Design,Design personalizzato
Custom Options,Opzioni personalizzate
Customer Group,Gruppo cliente
Customers Reviews,Recensioni clienti
Customers Tagged Product,Prodotti etichettati dai clienti
Customers for alert %s were successfuly added to queue,I clienti per allerta %s sono stati aggiungi con successo alla coda
Data Type for Saving in Database,Tipo dati per salvataggio nel Database
Date & Time Custom Options,Data & ora opzioni personalizzate
Date Fields Order,Ordine campi data
Date Subscribed,Data di registrazione
Datetime,Dataora
Decimal,Decimale
Declare attribute value saving scope,Dichiarare il valore dell'attributo del campo di risparmio
Default Price,Prezzo predefinito
Default Price Navigation Step,Prezzo predefinito step nella navigazione
Default Qty,Qty predefinita
Default Values,Valori predefiniti
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definire il campo di applicazione della valuta (""Impostazioni valuta"" > ""Opzioni valuta"" > ""valuta corrente"")."
Delete,Elimina
Delete Attribute,Elimina attributo
Delete Attribute Set,Elimina set di attributi
Delete Category,Elimina categoria
Delete Option,Elimina opzioni
Delete Row,Elimina riga
Delete Search,Elimina ricerca
Delete Selected Group,Elimina gruppo selezionato
Delete category,Elimina categoria
Delete product,Elimina prodotto
Depends on design theme,Dipende dal tema di design
Design,Design
Details,Dettagli
Disabled,Disabilitato
Disallowed file type.,Vieta tipo di file.
Display in Suggested Terms,Visualizza in termini consigliati
Double click on a group to rename it,Doppio click su un gruppo per rinominarlo
Double click on above image to view full picture,Doppio click sull'immagine per ingrandirla
Downloadable Information,Informazioni scaricabili
Duplicate,Duplicato
Duplicate website tier price customer group and quantity.,Duplica sito fascia prezzo cliente gruppo e quantità.
"Duplicate website, country and state tax found.","Duplica sito, paese e tasse statali trovate."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Direttive dinamiche analisi impatto catalogo sulle prestazioni"
Edit,Modifica
Edit Attribute Set '%s',Modifica set di attributi '%s'
Edit Product Attribute,Modifica attributo prodotto
"Edit Product Attribute ""%s""","Modifica attributo prodotto ""%s"""
Edit Search,Modifica ricerca
Edit Search '%s',Modifica ricerca '%s'
Edit Set Name,Modifica nome set
Email,Email
Email to %s was not sent.,L\'Email a %s non è stata spedita.
Email to a Friend,Mandalo via email ad un amico
Empty,Vuoto
Enable Qty Increments,Abilita incremento Qtà
Enable WYSIWYG,Abilita WYSIWYG
Enabled,Abilitato
Error during retrieval of option value: %s,Errore durante il recupero delle opzioni del valore: %s
Exclude,Escludi
Expand All,Espandi tutto
Failed,Fallito
"Failed to copy file %s. Please, delete media with non-existing images and try again.",Impossibile copiare il file %s. Cancella i media con immagini che non esistono e riprova.
Failed to move file: %s,Impossibile spostare file: %s
Feature Products,Caratteristica prodotti
Field is not complete,Il campo non è completo
File options format is not valid.,Il formato del file opzioni non è valido.
File upload failed,Caricamento file non riuscito
Filter model name must be declared.,Il nome del modello del filtro deve essere dichiarato.
Filter must be an object. Please set correct filter.,Il filtro deve essere un oggetto. Impostare filtro corretto.
Filterable (no results),Filtrabile (nessun risultato)
Filterable (with results),Filtrabile (con risultati)
First Name,Nome
Fixed,Fixed
For internal use.,Per uso interno.
Frontend,Frontend
Frontend Model,Modello Frontend
Frontend Properties,Proprietà Frontend
Gallery,Gallery
General Information,Informazioni generali
Get special price,Ottieni prezzo speciale
Global,Globale
Globally Editable,Modificabile globalmente
Go to Home Page,Vai alla Home Page
Grid,Griglia
Grouped Product,Prodotti raggruppati
Groups,Gruppi
Home,Home
ID,ID
ID: %s,ID: %s
"If empty, the Category Name will be used","Se vuoto, sarà utilizzato il nome della categoria"
"If empty, the Product Name will be used","Se vuoto, sarà utilizzato il nome prodotto"
If you do not specify an option value for a specific store view then the default (Admin) value will be used.,Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin).
Image,Immagine
Image content is not valid base64 data.,I contenuti dell\'immagine non sono validi su dati base64.
Image does not exist.,L\'immagine non esiste.
Image file was not found.,Il file immagine non è stato trovato.
Image type and information need to be specified for each store view.,Tipo immagine e le informazioni necessitano di essere specificata per ogni vista negozio.
In Stock,Disponibile
In stock,Disponibile
Incl. Tax,Incl. Tasse
Index product and categories URL rewrites,Indice prodotti e categorie URL rewrites
Index product attributes for layered navigation building,Indice attributi prodotti per la costruzione della navigazione a livelli
Index product prices,Indice prezzi prodotti
Indexed category/products association,Categorie indicizzate/prodotti associati
Info Column Options Wrapper,Info opzioni colonna wrapper
Input Type,Tipo in ingresso
Integer,Intero
Invalid Tier Prices,Fascia prezzi non valida
Invalid attribute %s.,Attribtuo non valido %s.
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opzioni attributo specificate non valide per l\'attributo %s (%s), salta il record."
"Invalid attribute set specified, skipping the record.","Set di attributi specificato non valido, salta il record."
Invalid block: %s.,Blocco non valido: %s.
Invalid category IDs.,ID categorie non valido.
Invalid category.,Categoria non valida.
Invalid image file type.,Tipo file immagine non valido.
Invalid image type.,Tipo immagine non valido.
"Invalid option ID specified for %s (%s), skipping the record.","ID opzione specificato non valido per %s (%s), salta il record."
"Invalid product type specified, skipping the record.","Tipo prodotto specificato non valido, Salta il record."
Invalid store specified,Negozio specificato non valido
"Invalid store specified, skipping the record.","Negozio specificato non valido, salta il record."
Invalid tier prices. The product is not associated to the requested website.,Livello prezzi non valido. Il prodotto non è associato al sito richiesto.
Invalid transactional email code.,Codice email della transazione non valido.
Inventory,Inventario
Is Default,È predefinito
Is Required,Obbligatorio
Items %s to %s of %s total,Articoli da %s a %s di %s totali
Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.,Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca devono avere lo stato 'disabilitato' nel negozio desiderato.
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca deve avere lo stato 'disabilitato' nel negozio desiderato.
Keep your eyes open for our special Back to School items and save A LOT!,Tieni gli occhi aperti per i nostro speciale Torna A Scuola e risparmierai TANTISSIMO!
Label,Etichetta
Last Name,Cognome
Last Notification,Ultima notifica
Layered Navigation,Livelli di navigazione
Learn More,Per saperne di più
"Line %d, Email: %s","Riga %d, Email: %s"
"Line %d, SKU: %s","Riga %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Prodotti correlati, Prodotti alternativi, Prodotti consigliati)"
Link product does not exist.,Il Link al prodotto non esiste.
Link to a Specified Category,Link ad una determinata categoria
Link to a Specified Product,Link ad un determinato prodotto
List,Elenco
List Mode,Modalità elenco
List of Products that are set as New,Lista dei prodotti che sono impostati come Nuovo
Manage Attribute Sets,Gestisci i set di attributi
Manage Attributes,Gestisci attributi
Manage Catalog Categories,Gestisci categorie catalogo
Manage Categories,Gestisci categorie
Manage Label / Options,Gestisci le etichette / Opzioni
Manage Options (values of your attribute),Gestisci opzioni (valore del tuo attributo)
Manage Product Attributes,Gestisci attributi prodotto
Manage Product Sets,Gestisci set attributi
Manage Products,Gestisci prodotti
Manage Stock,Gestici scorte
"Manage Titles (Size, Color, etc.)","Gestisci titoli (Dimensione, Colore, etc.)"
Max Characters,Max Caratteri
Maximal Depth,Altezza massima
Maximum Image Size,Dimensione massima immagine
Maximum Qty Allowed in Shopping Cart,Massima Qtà permessa nel carrello
Maximum allowed image size for '%s' is %sx%s px.,La massima dimensione permessa per l\'immagine '%s' è %sx%s px.
Maximum image height,Altezza massima immagine
Maximum image width,Larghezza massima immagine
Maximum number of characters:,Massimo numero di caratteri:
Media Image,Immagine Media
Minimum Lines per Page,Linee minime per pagina
Minimum Qty Allowed in Shopping Cart,Qtà minima ammessa nel carrello
Minimum Qty for Item\'s Status to be Out of Stock,Qtà minima dello stato dell\'articolo per essere non disponibile
"Missing SKU, skipping the record.","SKU mancante, salta il record."
More Views,Altre viste
Move,Sposta
Move category in tree,Sposta in albero categoria
Must be in the allowed values list.,Deve essere nella lista dei valori permessi.
N/A,N/A
Name,Nome
Name in %s,Nome in %s
New Product,Nuovo prodotto
New Product Attribute,Nuovo attributo prodotto
New Products,Nuovi prodotti
New Products Grid Template,Nuovo Template griglia prodotti
New Products List Template,Nuovo Template lista prodotti
New Root Category,Nuova categoria Root
New Search,Nuova ricerca
New Set Name,Nome nuovo Set
New Subcategory,Nuova sottocategoria
Next,Successivo
No,No
No image,Nessuna immagine
No layout updates,Nessun aggiornamento al layout
No options of this product are available.,Non è disponibile nessuna opzione di questo prodotto.
No product collections found.,Non è stata trovata nessuna raccolta del prodotto.
None,Nessuno
Not Visible Individually,Non visibile individualmente
Notify Low Stock RSS,Comunica via RSS scorte in esaurimento
Notify for Quantity Below,Comunica per quantità inferiore
Number of Products to Display,Numero di prodotti da visualizzare
Number of Uses,Numero di utilizzi
Number of results<br/>(For the last time placed),Numero di risultati<br/>(per l'ultima volta immessi)
OK,OK
OR,O
Old Price:,Prezzo precedente:
Option validation failed to add product to cart.,L\'opzione di validazine ha fallito nell\'aggiungere il prodotto al carrello.
Option:,Opzione:
Options Control,Controllo opzioni
Options is required,Opzioni è richiesto
Our customer service is available 24/7. Call us at (555) 555-0123.,Il nostro servizio clienti è disponibile 24/7. Call us at (555) 555-0123.
Out of Stock,Non disponibile
Out of stock,Non disponibile
PM,PM
Page Title Separator,Separatore titolo pagina
Parent Category,Categoria genitore
Pending,In attesa
Pending Reviews RSS,Recensioni in attesa RSS
Percentage,Percentuale
Please add rows to option.,Aggiungere righe di opzione.
Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.,Fai attenzione ogni volta che clicchi sulla riga saranno caricati i moduli dei dati pacchetto dal file selezionato e tutti i moduli dati non salvati andranno persi.
Please click on the Close Window button if it is not closed automatically.,Clicca sul pulsante Chiudi Finestra se non si chiude automaticamente.
Please enter a new group name,Inserire un nuovo nome gruppo
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Ricarica il ""Catalogo URL Rewrites"" e ""Attributi prodotti"" in Sistema -> <a href=""%s"">Indice di gestione</a>"
Please select a static block ...,Selezionare un blocco statico ...
Please select items.,Selezionare articolo.
Please select one or more attributes.,Selezionare uno o più attributi.
Please select product(s).,Selezionare prodotto(i)
Please select products for attributes update,Selezionare prodotti per l\'aggiornamento attributi
Please specify date required option(s).,Specificare data opzione richiesta.
Please specify the product required option(s),Specificare le opzioni del prodotto.
Please specify the product required option(s).,Specificare le opzioni del prodotto.
Please specify the product\'s option(s).,Specificare le opzioni del prodotto.
Please specify the product\'s required option(s).,Specificare le opzioni richieste del prodotto.
Please specify the quantity of product(s).,Specificare la quantità del prodotto.
Please specify time required option(s).,Specificare il tempo dell\'opzione richiesta.
Please wait...,Attendere prego...
Position,Posizione
Position in Layered Navigation,Posizione nella navigazione a livelli
Position of attribute in layered navigation block,Posizione dell'attributo nel blocco navigazione a livelli
Prev,Preced
Previous,Precedente
Price,Prezzo
Price Navigation Step Calculation,Calcolo step prezzo di navigazione
Price Type,Tipo prezzo
Price is not available,Prezzo non disponibile
Price values for options should be specified in system base currency.,I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta corrente di sistema.
Price:,Prezzo:
Price: %s,Prezzo: %s
Print This Page,Stampa questa pagina
Product,Prodotto
Product API,API prodotto
Product Alerts,Avvisi prodotto
Product Attribute,Attributo prodotto
Product Attributes,Attributi Prodotto
Product Categories,Categorie prodotti
Product Description,Descrizione prodotto
Product Extra Info,Info extra prodotto
Product Flat Data,Dati prodotto Flat
Product ID,ID prodotto
Product Image Placeholders,Segnaposti immagine prodotto
Product Image Watermarks,Watermarks immagine prodotto
Product Images,Immagini prodotto
Product Images API,API immagini prodotto
Product In Websites,Prodotto nei siti web
Product Info Column,Colonna Info prodotto
Product Information,Informazioni prodotto
Product Link Block Template,Template link blocco prodotto
Product Link Inline Template,Template in linea collegamento prodotto
Product Listing Sort by,Listino prodotti ordinato per
Product Name,Nome prodotto
Product Prices,Prezzi prodotto
Product Reviews,Recensioni prodotto
Product Tags,Tag prodotto
Product Tier Price API,API fascia prezzo prodotto
Product Type,Tipo prodotto
Product URL Suffix,Suffisso URL prodotto
Product View Extra Hint,Suggerimento extra vista prodotto
Product attribute sets API,API set attributi prodotto
Product attributes API,API attributi prodotto
Product collection expected.,Raccolta prodotto prevista.
Product is not loaded,Il prodotto non è stato caricato
"Product links API (related, cross sells, up sells)","Link API prodotto (prodotti correlati, prodotti consigliati, prodotti alternativi)"
Product name,Nome prodotto
Product types API,API tipi prodotto
Product with this combination of attributes already associated to configurable.,Un prodotto con questa combinazione di attributi è già assocciato a configurabile.
Products,Prodotti
Products Comparison List,Lista di confronto prodotti
Products Information,Informazioni prodotti
Products Reviews,Recensioni prodotti
Products Sitemap,Sitemap prodotti
Products only,Solo prodotti
Products per Page on Grid Allowed Values,Prodotti per pagina sulla griglia dei valori ammessi
Products per Page on Grid Default Value,Prodotti per pagina sulla griglia valore predefinito
Products per Page on List Allowed Values,Prodotti per pagina sulla lista dei valori ammessi
Products per Page on List Default Value,Prodotti per pagina sulla lista valore predefinito
Properties,Proprietà
Qty,Qtà
Qty Increments,Incrementi Qtà
Qty Uses Decimals,Decimali utilizzati Qtà
Qty for Item\'s Status to become Out of Stock,Qtà dello stato dell\'articolo per diventare non disponibile
Qty:,Qtà:
Quantity,Quantità
Quick Create,Creazione veloce
Quick Overview,Panoramica veloce
Quick simple product creation,Creazione veloce prodotti semplici
"Records for ""","Risultati per """
Redirect,Reindirizzamento
Redirect URL,Reindirizza URL
Regular Price:,Prezzo di listino:
Related Products,Prodotti associati
Remove,Rimuovi
Remove Product From Websites,Rimuovi prodotto dal sito web
Remove This Item,Rimuovi questo articolo
Remove product assignment,Rimuovere assegnazione prodotto
Remove product image,Rimuovere immagine prodotto
Remove product link,Rimuovere link prodotto
Reorganize EAV category structure to flat structure,Riorganizzare struttura categoria EAV a una struttura flat
Reorganize EAV product structure to flat structure,Reorganize EAV product structure to flat structure
Reset,Reset
Results,Risultati
Retrieve attribute data,Recupera dati attributo
Retrieve attribute list,Recupera lista attributo
Retrieve attribute options,Recupera opzioni attributi
Retrieve categories tree,Recupera albero categorie
Retrieve category attributes,Recupera categoria attributi
Retrieve category data,Retrieve category data
Retrieve hierarchical tree,Recupera gerarchia ad albero
Retrieve linked products,Recupera prodotti collegati
Retrieve list of assigned products,Recupera elenco prodotti assegnati
Retrieve one level of categories by website/store view/parent category,Recupera un livello di categorie dal sito web/negozio vista/categoria genitore
Retrieve product,Recupera prodotto
Retrieve product attribute sets,Recupera set attributi prodotto
Retrieve product image,Recupera immagine prodotto
Retrieve product image list,Recupera lista immagini prodotto
Retrieve product image types,Recupera tipi immagine prodotto
Retrieve product link type attributes,Recuoera tipo attributi collegati al prodotto
Retrieve product link types,Recupera tipi collegamenti al prodotto
Retrieve product tier prices,Recupera fasce prezzi prodotto
Retrieve product types,Recupera tipi prodotto
Retrieve products data,Recupera dati prodotto
Retrieve products list by filters,Recupera lista prodotti con filtri
Reviews,Recensioni
Roll Over for preview,Passa sopra per l'anteprima
Root,Root
SKU,SKU
SKU length should be %s characters maximum.,Lunghezza massima SKU dovrebbe essere %s caratteri.
Save,Salva
Save Attribute,Salva attributo
Save Attribute Set,Salva set attributi
Save Category,Salva categoria
Save Search,Salva ricerca
Save and Continue Edit,Salva e continua modifiche
Saved %d record(s),Salvati/o %d risultati/o
Scope,Ambito
Search,Ricerca
Search Engine Optimizations,Ottimizzazione motore di ricerca
Search Information,Informazioni di ricerca
Search Query,Query di ricerca
Search Term with such search query already exists.,Termine di ricerca con tale query di ricerca già esistente.
Searchable,Ricercabile
Select Category...,Seleziona categoria...
Select Configurable Attributes ,Selezioni attributi configurabili
Select Product...,Seleziona prodotto...
Select type of option,Seleziona tipo di opzione
Select type options required values rows.,Selezionare righe valori tipo di opzioni richieste.
Selected Product Types,Tipi prodotto selezionati
Selected configuration is not available.,La configurazione selezionata non è disponibile.
Send Count,Spedire conteggio
Set Ascending Direction,Imposta ordine ascendente
Set Descending Direction,Imposta ordine discendente
Set Name,Imposta nome
Set Root Category for Store,Imposta categoria di Root per il negozio
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta la categoria di root per questo negozio nella <a href=""%s"">configurazione</a>"
Set special price,Imposta prezzo speciale
Set/Get current store view,Imposta/Ottieni vista corrente negozio
Settings,Impostazioni
Shop By,Acquista per
Shopping Options,Opzioni acquisto
Show,Mostra
Show Details,Mostra dettagli
Show Tags,Mostra i Tag
Simple Product,Prodotto semplice
Site Map,Site map
Sitemap,Sitemap
"Skip import row, is not valid value ""%s"" for field ""%s""","Salta riga importata, non è un valore valido ""%s"" per il campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Salta riga importata, il campo richiesto ""%s"" per il nuovo cliente non è definito."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Salta riga importata, il valore ""%s"" non è valido per il campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Salta riga importata, campo richiesto ""%s"" per i nuovi prodotti non è definito."
"Skipping import row, required field ""%s"" is not defined.","Salta riga importata, il campo richiesto ""%s"" non è definito."
"Skipping import row, store ""%s"" field does not exist.","Salta riga importata, il campo negozio ""%s"" non esiste."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Salta riga importata, il valore ""%s"" non è valido per il campo ""%s""."
Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.,Alcuni dei prodotti elaborati non hanno un valore SKU definito. Inserirlo prima di eseguire operazioni su questi prodotti.
Some of the products below do not have all the required options. Please edit them and configure all the required options.,Alcuni dei prodotti di seguito non hanno tutte le opzioni richieste. Modificali e configura tutte le opzioni richieste.
Sort By,Ordina per
Sort Order,Ordinamento
Source Model,Origine modello
Special Expires On: %s,Speciale scade il: %s
Special Price:,Prezzo speciale:
Special Price: %s,Prezzo speciale: %s
Starting at:,A partire da:
Static,Statico
Static block and products,Blocco statico e prodotti
Static block only,Solo blocco statico
Status,Stato
Stock Availability,Disponibilità
Store,Negozio
